fyear,at,bkvlps,invt,Lt,rectr,cogs,dvt,ebit,gp,ni,oiadp,revt,dvpsx_f,mkvalt,prch_f,Bankrupt
2002,3.905,0.4953,0,1.605,0.281,1.111,0,-3.608,0.843,-4.984,-3.608,1.954,0,0.8359,0.75,yes
2002,4.232,0.0171,0.466,2.747,0.335,2.177,0.153,-0.952,0.711,-0.505,-0.952,2.888,0,1.2709,0.36,no
2002,1.129,0.0385,0.377,0.544,0.379,1.004,0,-0.641,1.125,-0.574,-0.641,2.129,0,1.9735,3.15,no
2002,4.866,1.2947,0.963,1.105,0.379,4.144,0.203,0.556,3.108,0.434,0.556,7.252,0.07,2.8179,2.98,no
2002,2.17,0.1217,0.056,1.011,0.38,5.37,0,0.184,1.955,0.204,0.184,7.325,0,0.1809,0.4,no
2002,3.683,0.1329,0.211,0.736,0.497,1.333,0,-2.886,0.9,-2.829,-2.886,2.233,0,29.943,3.85,no
2002,1.025,-0.1067,0.054,2.086,0.499,2.716,0,-0.52,0.9,-0.758,-0.52,3.616,0,0.497,0.17,yes
2002,69.602,-0.1889,0,115.506,0.524,14.203,0.03,-22.81,-1.009,-41.197,-22.81,13.194,0,92.2597,0.77,no
2002,7.774,9.2977,0.397,0.559,0.679,3.363,0,0.083,0.828,0.11,0.083,4.191,0,5.626,8.8,no
2002,15.151,2.8719,2.028,3.069,0.776,7.777,0,-4.201,-0.483,-2.889,-4.201,7.294,0,11.5272,7.19,no
2002,9.862,0.3555,1.256,3.318,0.782,2.817,0.007,-2.243,2.551,-6.011,-2.243,5.368,0,8.1677,1.25,no
2002,473.313,19.9933,12.39,53.554,0.79,483.481,13.719,59.675,132.234,39.209,59.675,615.715,0.6,406.0433,24.81,yes
2002,9.561,0.4191,0,1.825,0.826,5.876,0,-2.563,1.875,-1.756,-2.563,7.751,0,4.9651,3.5,no
2002,8.382,5.787,3.224,1.889,0.832,10.942,0,0.648,5.012,2.4,0.648,15.954,0,9.5482,10.75,no
2002,2.754,0.4146,0,0.304,0.928,4.222,0,-0.712,1.144,-0.432,-0.712,5.366,0,1.1227,0.62,yes
2002,30.618,0.9535,0,11.594,0.934,3.04,0,-8.026,14.797,-9.677,-8.026,17.837,0,19.153,4.149,no
2002,9.682,1.7914,0.841,2.203,1.028,8.545,0,0.391,0.902,0.647,0.391,9.447,0,29.3503,12.45,no
2002,10.463,0.2487,1.557,5.931,1.049,7.731,0,0.758,3.421,0.285,0.758,11.152,0,3.0984,0.17,no
2002,4.939,-0.0359,3.284,6.426,1.079,3.823,0,-2.515,0.859,-2.967,-2.515,4.682,0,0.6217,0.13,no
2002,225.51,6.5213,144.061,101.279,1.1,214.374,6.069,30.544,223.913,19.728,30.544,438.287,0.32,320.04,20.4,yes
2002,6.468,0.7574,0.973,2.993,1.131,1.759,0,0.051,4.027,0.186,0.051,5.786,0,1.8811,1.75,no
2002,9.799,2.815,0.763,2.86,1.155,10.072,0,-0.151,2.876,-0.813,-0.151,12.948,0,3.6975,3,no
2002,556.727,1.0668,3.171,547.135,1.206,391.339,0,68.787,115.849,-39.827,68.787,507.188,0,176.6732,30.189,yes
2002,9.674,2.7016,2.3,1.226,1.801,8.819,0,0.953,4.243,0.639,0.953,13.062,0,4.8469,2.3,no
2002,17.562,3.0609,11.414,5.845,2.137,9.425,0.23,3.189,15.455,2.038,3.189,24.88,0.06,37.323,9.94,no
2002,204.053,31.6888,33.78,106.61,2.196,661.694,0,23.806,221.643,12.558,23.806,883.337,0,82.8713,40.25,no
2002,10.024,-0.0366,1.654,10.6,2.342,10.811,0,-2.026,4.056,-3.113,-2.026,14.867,0,1.5744,0.55,no
2002,216.04,4.4131,0,187.655,2.715,112.174,0,9.586,34.095,-4.414,9.586,146.269,0,19.6176,3.65,yes
2002,20.585,-0.9966,5.428,24.986,2.891,22.056,0,-2.158,3.794,-13.407,-2.158,25.85,0,2.5613,2.5,no
2002,11.944,-1.6189,5.515,20.94,3.143,15.468,0,-3.44,17.653,-4.116,-3.44,33.121,0,1.945,0.45,no
2002,18.48,28.5684,6.453,3.653,3.387,15.412,0.182,2.171,7.705,1.205,2.171,23.117,0.35,9.0825,24.5,no
2002,14.255,-0.1213,9.605,10.92,3.851,20.117,0,0.49,5.685,0.278,0.49,25.802,0,0.4088,0.51,no
2002,37.111,2.4219,5.189,9.496,4.459,12.968,0.24,-5.569,11.533,-7.45,-5.569,24.501,0,30.6714,11.47,no
2002,304.968,2.1298,0,83.458,4.881,24.558,0,-107.002,3.158,-399.257,-107.002,27.716,0,271.4557,4.25,yes
2002,30.088,24.9576,6.09,5.979,4.995,30.511,0.841,3.911,12.502,2.604,3.911,43.013,0.87,21.8316,28.8,no
2002,301.295,0.008,5.283,301.03,5.087,392.611,0,7.536,48.977,-63.429,7.536,441.588,0,8.2755,0.56,yes
2002,11.136,1.2392,0,6.529,5.375,30.228,0,0.53,8.652,0.378,0.53,38.88,0,11.9187,4,yes
